time	SASDI
2024-05-01	0.73227507
2024-06-01	0.19755481
2024-07-01	0.34567538
2024-08-01	0.96057314
2024-09-01	0.58160836
2024-10-01	0.2928614
2024-11-01	-0.212978
2024-12-01	0.49534887
2025-01-01	0.0385634
2025-02-01	-0.30129737
2025-03-01	-0.44486117
2025-04-01	-0.17618434
2025-05-01	-0.1971999
2025-06-01	-0.25181457
2025-07-01	-0.42876586
