time	SOI
2015-07-01	-1.8308167
2015-08-01	-1.719171
2015-09-01	-1.8262174
2015-10-01	-1.679434
2015-11-01	-0.54236895
2015-12-01	-0.89053035
2016-01-01	-1.8425823
2016-02-01	-1.6233978
2016-03-01	-0.3329028
2016-04-01	-1.4384347
2016-05-01	0.99829537
2016-06-01	1.0638669
2016-07-01	0.49847966
2016-08-01	0.7334026
2016-09-01	1.2593387
2016-10-01	-0.55203426
2016-11-01	-0.25278154
2016-12-01	0.042437784
2017-01-01	-0.009739731
2017-02-01	-0.15097174
2017-03-01	0.6275407
2017-04-01	-0.40824723
2017-05-01	0.46822584
2017-06-01	-0.897243
2017-07-01	0.85747015
2017-08-01	0.7883722
2017-09-01	0.6384802
2017-10-01	1.2874951
2017-11-01	0.84373814
2017-12-01	-0.31243783
2018-01-01	0.783026
2018-02-01	-0.53524065
2018-03-01	1.0877423
2018-04-01	0.59230137
2018-05-01	0.34733793
2018-06-01	-0.36004734
2018-07-01	0.19360402
2018-08-01	-0.4499204
2018-09-01	-1.0976264
2018-10-01	0.45755327
2018-11-01	-0.27881205
2018-12-01	0.82959145
2019-01-01	-0.18011898
2019-02-01	-1.1940179
2019-03-01	-0.48535028
2019-04-01	0.15803269
2019-05-01	-0.8062046
2019-06-01	-0.58835393
2019-07-01	-0.74971646
2019-08-01	-0.29359314
2019-09-01	-1.3495392
2019-10-01	-0.35752556
2019-11-01	-1.3194886
2019-12-01	-0.556638
2020-01-01	0.08420742
2020-02-01	-0.07261846
2020-03-01	-0.3219883
2020-04-01	0.17601651
2020-05-01	0.5042737
2020-06-01	-0.5828026
2020-07-01	0.59813243
2020-08-01	1.4484243
2020-09-01	0.845113
2020-10-01	0.52870715
2020-11-01	0.8417638
2020-12-01	1.4977505
2021-01-01	1.4986552
2021-02-01	1.0553335
2021-03-01	0.254699
2021-04-01	0.35623392
2021-05-01	0.88775736
2021-06-01	0.73272353
2021-07-01	2.2589128
2021-08-01	0.78909993
2021-09-01	0.7853232
2021-10-01	0.8177239
2021-11-01	1.3293711
2021-12-01	1.2581786
2022-01-01	0.42282426
2022-02-01	0.79861426
2022-03-01	1.6238478
2022-04-01	2.2940216
2022-05-01	2.995651
2022-06-01	2.815053
2022-07-01	1.1940144
2022-08-01	1.4598073
2022-09-01	1.907888
2022-10-01	2.089878
2022-11-01	0.22191986
2022-12-01	1.8499527
2023-01-01	1.0493892
2023-02-01	1.0689043
2023-03-01	0.009934075
2023-04-01	0.3065006
2023-05-01	-1.9649026
2023-06-01	0.48398054
2023-07-01	-0.5217412
2023-08-01	-1.0361233
