time	PNA
1994-04-01	-0.06246670117320523
1994-05-01	0.5385564970933568
1994-06-01	0.45519253466788573
1994-07-01	-0.280979297335855
1994-08-01	-0.40608347428994596
1994-09-01	0.31106732177066654
1994-10-01	0.20859162303472426
1994-11-01	-2.5947650052562476
1994-12-01	0.21912707105120754
1995-01-01	1.7595304642338336
1995-02-01	0.7878809519311675
1995-03-01	0.4088055371226008
1995-04-01	0.8599374087343965
1995-05-01	0.7536153770740142
1995-06-01	-1.1691981145210968
1995-07-01	-0.2718325810301389
1995-08-01	0.43728946607798497
1995-09-01	1.1001769504660543
1995-10-01	-0.1665718712916245
1995-11-01	0.5495965466239758
1995-12-01	2.477139883538814
1996-01-01	-1.171153171297221
1996-02-01	0.037914578028567854
1996-03-01	0.8310180025583711
