time	SASAI
2019-02-01	-0.98855543
2019-03-01	-1.1394758
2019-04-01	-0.840972
2019-05-01	-0.68162835
2019-06-01	1.9236606
2019-07-01	-0.4284171
2019-08-01	-1.007353
2019-09-01	-0.3261201
2019-10-01	-0.3963052
2019-11-01	-0.1739394
2019-12-01	0.4920212
2020-01-01	-0.8092758
2020-02-01	-0.70075125
2020-03-01	-0.18840577
2020-04-01	-0.6857118
2020-05-01	2.0255342
2020-06-01	1.73694
2020-07-01	0.7149239
2020-08-01	0.53413564
2020-09-01	0.08178145
2020-10-01	-1.4728355
2020-11-01	-1.5439807
2020-12-01	-0.4487269
2021-01-01	0.4576828
2021-02-01	-1.2041829
2021-03-01	-0.070321225
2021-04-01	-1.8396156
2021-05-01	0.5754136
2021-06-01	-1.7796373
2021-07-01	-0.042356797
2021-08-01	-0.49293077
2021-09-01	-0.017632598
2021-10-01	-0.7313826
2021-11-01	-0.41957068
2021-12-01	-2.77988
2022-01-01	0.5808863
2022-02-01	0.5080203
2022-03-01	0.6881194
2022-04-01	-0.41812694
2022-05-01	-0.6925638
2022-06-01	-2.2869544
2022-07-01	2.996704
2022-08-01	-1.6215863
2022-09-01	-1.4779487
2022-10-01	-0.5590208
2022-11-01	-2.4759798
2022-12-01	-0.5199062
2023-01-01	0.5771355
2023-02-01	1.1866542
2023-03-01	1.8228488
2023-04-01	-0.651543
2023-05-01	0.40990424
2023-06-01	-0.3016159
2023-07-01	0.010209465
2023-08-01	0.8610193
2023-09-01	1.705048
2023-10-01	-0.12271728
2023-11-01	1.2692387
2023-12-01	-0.8284063
2024-01-01	-1.9909334
2024-02-01	0.040583495
2024-03-01	0.8532465
2024-04-01	1.4707086
2024-05-01	0.009787469
2024-06-01	2.3923967
2024-07-01	-3.0171597
2024-08-01	0.5175287
2024-09-01	1.9278172
2024-10-01	0.05651007
2024-11-01	0.18397556
2024-12-01	-0.7696304
2025-01-01	-0.60613036
2025-02-01	1.7761227
2025-03-01	0.029163513
2025-04-01	-2.1247659
2025-05-01	1.9372786
2025-06-01	-0.45700562
2025-07-01	-2.1068156
2025-08-01	-0.7253765
